glycan,36_1_38_1_retina,36_1_38_1_brain,36_1_38_1_choroid,36_1_38_1_ciliary,36_1_38_1_opticnerve,36_1_38_1_plasma,34_1_retina,34_1_brain,34_1_choroid,34_1_ciliary,34_1_opticnerve,34_1_plasma,40_1_42_2_42_1_retina,40_1_42_2_42_1_brain,40_1_42_2_42_1_choroid,40_1_42_2_42_1_ciliary,40_1_42_2_42_1_opticnerve,40_1_42_2_42_1_plasma,C1d_retina,C1d_brain,C1d_choroid,C1d_ciliary,C1d_opticnerve,C1d_plasma,C2d_retina,C2d_brain,C2d_choroid,C2d_ciliary,C2d_opticnerve,C2d_plasma,Clt34c_retina,Clt34c_brain,Clt34c_choroid,Clt34c_ciliary,Clt34c_opticnerve,Clt34c_plasma,Cgt42c_retina,Cgt42c_brain,Cgt42c_choroid,Cgt42c_ciliary,Cgt42c_opticnerve,Cgt42c_plasma
Neu5Ac(a2-3)Gal(b1-4)Glc,0.05,0.04,0.19,0.17,0.08,0.37,0.61,0.71,0.26,0.17,0.17,0.14,0.85,0.84,0.69,0.65,0.61,0.72,0.21,0.19,0.43,0.46,0.6,0.27,0.15,0.16,0.31,0.35,0.39,0.28,0.05,0.04,0.2,0.19,0.08,0.44,0.1,0.17,0.37,0.37,0.56,0.21
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc,0.03,0.03,0,0.26,0.01,0.25,0.95,0.91,0,0.41,0.81,0.32,0.99,0.96,0,0.83,0.89,0.71,0.01,0.02,0,0.3,0.15,0.27,0.01,0.04,0,0.17,0.11,0.29,0.03,0.03,0,0.26,0.01,0.27,0,0.01,0,0.23,0.15,0.22
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc,0.06,0.02,0.2,0.23,0.05,0.39,0.54,0.84,0.24,0.18,0.31,0.1,0.87,0.91,0.7,0.71,0.7,0.67,0.32,0.1,0.46,0.41,0.53,0.3,0.13,0.09,0.3,0.29,0.3,0.33,0.06,0.02,0.21,0.25,0.05,0.48,0.18,0.08,0.39,0.29,0.43,0.3
Neu5Ac9Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc,0.06,0,0,0.32,0.03,0,0.66,0.65,0,0.12,0.85,0,0.93,0.7,0,0.76,0.99,0,0.22,0.05,0,0.48,0.1,0,0.07,0.3,0,0.24,0.01,0,0.06,0,0,0.32,0.03,0,0,0,0,0.32,0,0
Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc,0.01,0.01,0,0.28,0,0,0.96,0.95,0,0.66,1,0,0.99,0.98,0,0.97,1,0,0.02,0.03,0,0.06,0,0,0.01,0.02,0,0.03,0,0,0.01,0.01,0,0.28,0,0,0,0.01,0,0.04,0,0
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc,0.03,0.01,0.04,0.17,0,0.39,0.87,0.89,0.16,0.28,0.38,0.38,0.93,0.93,0.65,0.69,0.68,0.84,0.03,0.05,0.75,0.42,0.33,0.08,0.07,0.07,0.35,0.31,0.32,0.16,0.03,0.01,0.04,0.18,0,0.46,0.01,0.01,0.65,0.37,0.23,0.07
Neu5Ac(a2-8)Neu5Ac(a2-3)[Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc,0.01,0.01,0.01,0.2,0,0.04,0.9,0.92,0.86,0.7,0.69,0.84,0.98,0.97,0.96,0.95,0.94,0.95,0.07,0.05,0.12,0.08,0.27,0.1,0.02,0.03,0.04,0.05,0.06,0.05,0.01,0.01,0.01,0.2,0,0.05,0.01,0.01,0.06,0.06,0.12,0.05
Neu5Ac9Ac(a2-8)Neu5Ac(a2-3)[Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc,0,0,0,0,0,0,0.9,0.99,0,0,1,0,0.93,0.99,0,0,1,0,0.03,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc,0.04,0,0,0,0,0,0.34,0.98,0,0,0,0,0.81,0.98,0,0,0,0,0.54,0,0,0,0,0,0.19,0.02,0,0,0,0,0.04,0,0,0,0,0,0.31,0,0,0,0,0
Neu5Ac9Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc,0.02,0,0,0,0,0,0.38,1,0,0,0,0,0.8,1,0,0,0,0,0.52,0,0,0,0,0,0.19,0,0,0,0,0,0.02,0,0,0,0,0,0.29,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc,0.02,0.01,0.01,0.16,0,0.11,0.85,0.96,0.76,0.54,0.57,0.6,0.96,0.98,0.93,0.85,0.9,0.85,0.11,0.01,0.21,0.25,0.35,0.24,0.04,0.02,0.07,0.15,0.1,0.15,0.02,0.01,0.01,0.16,0,0.11,0.03,0.01,0.11,0.21,0.21,0.2
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac9Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc,0,0,0,0.26,0,0,0.94,0.96,0,0.32,0.86,0,1,0.99,0,0.65,1,0,0.06,0.04,0,0.17,0.14,0,0,0.01,0,0.1,0,0,0,0,0,0.26,0,0,0,0,0,0.14,0,0
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc,0,0,0,0.2,0,0,0.85,0.93,1,0.69,0.74,0,0.97,0.97,1,0.98,0.97,0,0.13,0.04,0,0.1,0.26,0,0.03,0.03,0,0.01,0.03,0,0,0,0,0.2,0,0,0.03,0,0,0.06,0.07,0
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac9Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc,0,0,0,0,0,0,1,1,0,0,0.93,0,1,1,0,0,1,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
